trialNumber,repeatNumber,rewardContingency,contrastLeft,contrastRight,correctResponse,choice,choiceCompleteTime,choiceStartTime,feedback,punishSoundOnsetTime,trialStartTime,preStimWaitTime,interactiveOnTime,feedbackTime,endTrialTime,environment,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume
58,1,SymmetricReward,0,0.0625,Right,Right,677.265434050118,677.195757519454,Rewarded,NaN,674.950231599971,674.950492299977,676.424339499907,677.532403899939,685.471155199921,Neutral,675.551549141349,676.4705,677.566200356733,3.5
59,1,SymmetricReward,0,0.125,Right,Right,687.215740850079,687.138843894936,Rewarded,NaN,685.478395399987,685.47865830001,686.914790099952,687.508310799953,694.776460999972,Neutral,686.086058480223,686.9915,687.538700396149,3.5
60,1,SymmetricReward,0.125,0,Left,Left,696.298359549954,696.133789282292,Rewarded,NaN,694.784415800008,694.784690400003,696.225036449847,696.543963050004,703.365116750007,Neutral,695.386535317956,696.27,696.575200363263,3.5
61,1,SymmetricReward,0,0.0625,Right,Right,705.58157229994,705.333235667087,Rewarded,NaN,703.373118850053,703.373434350011,704.584448550013,705.84088709997,714.700801749947,Neutral,703.969518693405,704.6295,705.872700343554,3.5
62,1,SymmetricReward,0,0.5,Right,Right,716.248392050038,716.00137103349,Rewarded,NaN,714.708041349892,714.708302149898,716.060274449992,716.524217249942,722.87135755003,Neutral,715.312540178858,716.112,716.555200337021,3.5
63,1,SymmetricReward,0,0.0625,Right,Right,725.215991599835,725.132650419138,Rewarded,NaN,722.879036050057,722.879296650062,725.074507699814,725.554275649949,734.164313599933,Neutral,724.343544814463,725.1245,725.586200343554,3.5
64,1,SymmetricReward,0,0.5,Right,Right,740.149890900124,740.082912731916,Rewarded,NaN,734.17164830002,734.17190820002,735.626792149968,740.54448339995,749.6503430499,Neutral,734.774543216698,735.7055,740.575200376442,3.5
65,1,SymmetricReward,0.25,0,Left,Left,752.782030400005,752.72169407364,Rewarded,NaN,749.657750549959,749.65802854998,751.438922250061,753.05211535003,761.594046399929,Neutral,750.674529098362,751.4815,753.083200363263,3.5
66,1,SymmetricReward,0,0.0625,Right,Right,765.01856674999,764.818237922154,Rewarded,NaN,761.601235799957,761.601505799918,764.189061750076,765.402412649943,772.733486050041,Neutral,763.466520078613,764.241,765.434200363263,3.5
67,1,SymmetricReward,0.125,0,Left,Left,774.532694250112,774.395701302215,Rewarded,NaN,772.740952550084,772.741220250027,774.200445899973,774.935782850021,783.817777299904,Neutral,773.337044990837,774.253,774.968200330377,3.5
68,1,SymmetricReward,0,0.125,Right,Right,787.032478749868,786.953921644948,Rewarded,NaN,783.825557200005,783.825851099915,786.716448600055,787.338301949785,795.629629950039,Neutral,785.996036870969,786.762,787.368700330377,3.5
69,1,SymmetricReward,0.25,0,Left,Left,796.983313900069,796.735886022449,Rewarded,NaN,795.637390849995,795.637664349983,796.933308200096,797.332624849863,806.497454099939,Neutral,796.244033225075,796.9825,797.364700396149,3.5
70,1,SymmetricReward,0,0.25,Right,Right,808.216062049964,807.986539381556,Rewarded,NaN,806.505789899966,806.506088199909,807.853896600078,808.45560945,817.244256999926,Neutral,807.105162553205,807.904,808.487700396149,3.5
71,1,SymmetricReward,0.5,0,Left,Left,820.518763399916,820.306175227277,Rewarded,NaN,817.251799299964,817.252093799994,820.402253799955,820.763215099927,827.231726749917,Neutral,819.512039974377,820.4725,820.795200350085,3.5
72,1,SymmetricReward,0,0.0625,Right,Right,832.099806400016,831.851186082698,Rewarded,NaN,827.239546149853,827.239851549966,830.152551600011,832.308732100064,839.964286900009,Neutral,829.383780000021,830.2395,832.340200389623,3.5
73,1,SymmetricReward,0,0.0625,Right,Right,844.366936599836,844.297860426828,Rewarded,NaN,839.972963500069,839.973245400004,842.933224449866,844.60669679998,850.98806725,Neutral,842.221034468751,842.979,844.637700290952,3.5
74,1,SymmetricReward,0.5,0,Left,Right,852.549959299969,852.344664826058,Unrewarded,852.847,850.997323949938,850.997600449948,852.384833449963,852.809331799974,861.20225115004,Neutral,851.595273345281,852.433,NaN,NaN
75,2,SymmetricReward,0.5,0,Left,Left,862.51955680002,862.272258701734,Rewarded,NaN,861.209012550069,861.209292950109,862.46557184984,862.919776300085,871.710650649969,Neutral,861.81242762434,862.5125,862.950700376442,3.5
76,1,SymmetricReward,0,0.25,Right,Left,873.584114750032,873.33700206317,Unrewarded,874.005,871.718527649879,871.718795049936,873.466776799993,873.968788650003,882.602654950111,Neutral,872.724581726701,873.512,NaN,NaN
77,1,SymmetricReward,0.5,0,Left,Right,884.368267150014,884.119781928137,Unrewarded,884.707,882.60971415008,882.609987250064,884.269680349971,884.663059149985,895.173772799899,Neutral,883.627521902876,884.322,NaN,NaN
78,2,SymmetricReward,0.5,0,Left,Left,896.683909449959,896.436319273897,Rewarded,NaN,895.180757299997,895.181036899914,896.585352849914,897.040565949981,903.381835050066,Neutral,895.779026188906,896.6375,897.070200396149,3.5
79,1,SymmetricReward,0.0625,0,Left,Right,904.852539499989,904.811564669013,Unrewarded,905.1735,903.38937764999,903.389636949985,904.722288000048,905.135695150006,914.832494750037,Neutral,903.986545476924,904.7705,NaN,NaN
80,1,SymmetricReward,0,0.5,Right,Left,916.220804149983,916.161370026879,Unrewarded,916.4845,914.839435550035,914.839704450103,916.077316849958,916.443528149975,927.441507749958,Neutral,915.436544396419,916.1315,NaN,NaN
81,2,SymmetricReward,0,0.5,Right,Right,929.034186799894,928.784658868797,Rewarded,NaN,927.448609050014,927.448884950019,928.918065100093,929.400489999913,936.098996699904,Neutral,928.050067391309,928.962,929.431700369791,3.5
82,1,SymmetricReward,0,0,Left,Left,947.951761999982,947.704099631868,Rewarded,NaN,936.106469299877,936.106744399876,938.893824850093,948.263676699949,955.476971449913,Neutral,938.28344355304,938.9415,948.293700415853,3.5
83,1,SymmetricReward,0,0,Left,Left,958.834703649976,958.765744493343,Rewarded,NaN,955.484350649989,955.484625249985,956.737785450066,959.167137800017,965.62684225,Neutral,956.086538447089,956.782,959.198200317306,3.5
84,1,SymmetricReward,0.125,0,Left,Left,967.168695300003,966.93648889102,Rewarded,NaN,965.635008150013,965.635276550078,967.025551500032,967.486297200085,974.323222100036,Neutral,966.230013161468,967.0695,967.517200343554,3.5
85,1,SymmetricReward,0.125,0,Left,Left,982.668703350006,982.59011069499,Rewarded,NaN,974.330429099966,974.330709100002,979.331002100022,983.020840049954,991.700984149938,Neutral,978.736044461682,979.38,983.053700350085,3.5
86,1,SymmetricReward,0,0,Left,Left,993.385245900019,993.273738561198,Rewarded,NaN,991.708036049968,991.70830494992,992.98066354997,993.614083249937,1002.49019774992,Neutral,992.306539623225,993.0405,993.646200363263,3.5
87,1,SymmetricReward,0,0.125,Right,Left,1003.91884424991,1003.66920593102,Unrewarded,1004.3455,1002.49777054996,1002.49803634989,1003.87050874997,1004.30244835,1012.70938404999,Neutral,1003.10350514286,1003.9335,NaN,NaN
88,1,SymmetricReward,0.125,0,Left,Right,1014.05180464999,1013.80439930409,Unrewarded,1014.4665,1012.71723904996,1012.71749844996,1013.93095704995,1014.42326025001,1025.42374855001,Neutral,1013.3205394441,1013.9825,NaN,NaN
89,1,SymmetricReward,0.0625,0,Left,Left,1039.02195415017,1038.91154448967,Rewarded,NaN,1025.43080285005,1025.43107055,1026.68015390006,1039.33852165018,1047.28585794999,Neutral,1026.03704099282,1026.733,1039.37020033702,3.5
90,1,SymmetricReward,0,0,Right,Left,1058.60285194998,1058.53124624398,Unrewarded,1058.925,1047.29267114995,1047.29294464993,1050.20366299991,1058.88232284994,1068.82350249996,Neutral,1049.35357515001,1050.251,NaN,NaN
91,1,SymmetricReward,0,0,Right,Left,1087.75279434992,1087.66644137911,Unrewarded,1088.086,1068.8308615,1068.83113169996,1070.25755334995,1088.04826089984,1096.94539195008,Neutral,1069.4308806931,1070.3005,NaN,NaN
92,1,SymmetricReward,0,0.25,Right,Right,1098.57007329992,1098.51119124331,Rewarded,NaN,1096.95327845006,1096.95356125,1098.28611039999,1098.78054049995,1107.17026685004,Neutral,1097.55104503457,1098.3425,1098.81020031731,3.5
93,1,SymmetricReward,0,0.25,Right,Right,1109.66995114996,1109.61311660428,Rewarded,NaN,1107.17810264998,1107.17836274998,1109.17863355007,1109.95712434989,1117.0072416499,Neutral,1108.41609049317,1109.2255,1109.98720037644,3.5
