trialNumber,repeatNumber,stimulusLeft,stimulusLeftPayoff_1,stimulusLeftPayoff_2,stimulusRight,stimulusRightPayoff_1,stimulusRightPayoff_2,choice,choiceCompleteTime,choiceStartTime,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume,rewardBeepFreq,rewardBeepOnsetTime,punishSoundOnsetTime
65,1,Cross,3,3,None,0,0,Right,457.904380900087,457.79336728435,456.418237400008,456.625138500007,NaN,NaN,1000,458.011830000207,NaN
66,2,Cross,3,3,None,0,0,Left,461.3403996001,461.1965702374,461.104593900032,461.310364900157,461.451632300159,3,5200,461.451502900105,NaN
67,1,Cross,3,3,None,0,0,Left,479.550407000119,479.427360585891,465.261842300184,465.46559919999,479.662333500106,3,5200,479.662139500026,NaN
68,1,Cross,3,3,None,0,0,Right,484.067616800079,483.819476325298,483.437905000057,483.644064800115,NaN,NaN,1000,484.174673100002,NaN
69,2,Cross,3,3,None,0,0,Left,493.802182100015,493.751334988279,488.524173900019,488.72870810004,493.917242700001,3,5200,493.917046200018,NaN
70,1,None,0,0,Cross,3,3,Right,510.594100400107,510.480442957487,496.737973900046,496.94277850003,510.70598580013,3,5200,510.70591330016,NaN
71,1,None,0,0,Cross,3,3,Right,515.210756500019,514.961072495673,513.580765100196,513.787791799987,515.325444100192,3,5200,515.32537000021,NaN
72,1,Cross,3,3,None,0,0,Left,518.432341500185,518.263552850112,518.191864500055,518.395917400019,518.547375900205,3,5200,518.54718250013,NaN
73,1,Cross,3,3,None,0,0,Right,531.691529500065,531.638293065596,521.577624100028,521.782288599992,NaN,NaN,1000,531.803208600031,NaN
74,2,Cross,3,3,None,0,0,Right,534.653758200118,534.54398742551,534.410606200108,534.621130000101,NaN,NaN,1000,534.762808400206,NaN
75,3,Cross,3,3,None,0,0,Left,539.689476100029,539.628952555358,537.955508199986,538.162269900087,539.80252480018,3,5200,539.802395800129,NaN
76,1,None,0,0,Cross,3,3,Right,543.219377600122,543.123721507145,542.951787500177,543.157776999986,543.326098100049,3,5200,543.326026200084,NaN
77,1,Cross,3,3,None,0,0,Right,546.706857100129,546.627647058805,546.022092000116,546.226981200045,NaN,NaN,1000,546.813860800117,NaN
78,2,Cross,3,3,None,0,0,Left,553.487544400152,553.427948564989,549.236378200119,549.444490600144,553.596043900121,3,5200,553.595963700209,NaN
79,1,None,0,0,Cross,3,3,Left,559.518417400075,559.468252281658,556.226778200129,556.432574100094,NaN,NaN,1000,559.626774500124,NaN
80,2,None,0,0,Cross,3,3,Left,563.873162800213,563.808480621781,562.401212200057,562.609964600066,NaN,NaN,1000,563.983380200109,NaN
81,3,None,0,0,Cross,3,3,Right,568.603205700172,568.563808156177,568.178903800203,568.385646500159,568.713697000174,3,5200,568.713623700198,NaN
82,1,None,0,0,Cross,3,3,Right,573.869305800181,573.673190885689,572.73943860014,572.946248100139,573.978735800134,3,5200,573.978661200032,NaN
83,1,None,0,0,Cross,3,3,Right,577.256124000065,577.201534037013,576.75338670006,576.96017570002,577.363934400026,3,5200,577.36386110005,NaN
84,1,None,0,0,Cross,3,3,Right,581.008178200107,580.876382786315,579.823814200005,580.028181700036,581.1233794,3,5200,581.123181800125,NaN
85,1,None,0,0,Cross,3,3,Right,596.287688100012,596.225896374555,583.418613400077,583.629158100113,596.398607700132,3,5200,596.398528600112,NaN
86,1,Cross,3,3,None,0,0,Right,603.402045800118,603.313104676781,601.114162100013,601.318176100031,NaN,NaN,1000,603.512043600203,NaN
87,2,Cross,3,3,None,0,0,Right,613.376261900179,613.330424938584,606.216862100177,606.421188600129,NaN,NaN,1000,613.486310400069,NaN
88,3,Cross,3,3,None,0,0,Left,617.5034399,617.40511188237,617.206041000085,617.416280800011,617.613153400132,3,5200,617.613079900155,NaN
89,1,None,0,0,Cross,3,3,Right,626.635066000046,626.58612935571,621.500608800212,621.709396600025,626.742343200138,3,5200,626.74227180006,NaN
90,1,None,0,0,Cross,3,3,Left,639.051346900174,638.804085787153,629.237861100119,629.44278300018,NaN,NaN,1000,639.158010200132,NaN
91,2,None,0,0,Cross,3,3,Left,645.318207700038,645.268645297969,641.485362900188,641.692674200051,NaN,NaN,1000,645.427091600141,NaN
92,3,None,0,0,Cross,3,3,Right,652.87836219999,652.795370394131,651.014247300103,651.218066000147,652.993506200146,3,5200,652.993433900177,NaN
93,1,Cross,3,3,None,0,0,Right,659.375272300094,659.266034304863,657.139720600098,657.344365500147,NaN,NaN,1000,659.486338100163,NaN
94,2,Cross,3,3,None,0,0,Right,664.285169000039,664.131241037743,663.732070000144,663.939200000139,NaN,NaN,1000,664.394776900066,NaN
95,3,Cross,3,3,None,0,0,Right,670.418981700204,670.363833351759,666.595327000134,666.801729600178,NaN,NaN,1000,670.527973100077,NaN
96,4,Cross,3,3,None,0,0,Right,674.261311599985,674.053943100851,673.893113500206,674.097371600103,NaN,NaN,1000,674.375251600053,NaN
97,5,Cross,3,3,None,0,0,Left,676.858364799991,676.785662063165,676.583884400083,676.788094000192,676.971502300119,3,5200,676.971430100035,NaN
98,1,None,0,0,Cross,3,3,Right,683.802965900162,683.67142516817,680.43537750002,680.639628500212,683.912085700082,3,5200,683.912011699984,NaN
99,1,Cross,3,3,None,0,0,Right,722.166044200072,722.04673523875,686.570061000064,686.776494699996,NaN,NaN,1000,722.281677399995,NaN
100,2,Cross,3,3,None,0,0,Right,728.318684300175,728.096195555292,727.918590600137,728.124716000166,NaN,NaN,1000,728.427427600138,NaN
101,3,Cross,3,3,None,0,0,Right,796.052729699994,795.913026419701,732.9821581,733.18793860008,NaN,NaN,1000,796.160312500084,NaN
102,4,Cross,3,3,None,0,0,Left,803.688400499988,803.601518113632,800.430952700088,800.637751900125,803.796524000121,3,5200,803.796365500195,NaN
103,1,Cross,3,3,None,0,0,Right,816.787195099983,816.539793735137,807.9005452001,808.105820700061,NaN,NaN,1000,816.895772500196,NaN
104,2,Cross,3,3,None,0,0,Left,824.986732300138,824.918082619552,819.520788600203,819.731608100003,825.095202800119,3,5200,825.095129300142,NaN
105,1,Cross,3,3,None,0,0,Right,829.588406900177,829.490278156474,829.345444899984,829.550099800108,NaN,NaN,1000,829.697404799983,NaN
106,2,Cross,3,3,None,0,0,Left,843.128312000073,842.990158570232,832.107455400052,832.314725800185,843.2381775002,3,5200,843.238089200109,NaN
107,1,None,0,0,Cross,3,3,Right,880.010118000209,879.967561060097,846.508086299989,846.712183500174,880.122530100169,3,5200,880.122458100086,NaN
108,1,Cross,3,3,None,0,0,Right,885.03831910016,884.790036993567,884.63670770009,884.844417100074,NaN,NaN,1000,885.146395700052,NaN
109,2,Cross,3,3,None,0,0,Right,889.197372600203,889.151630733395,888.806570800021,889.011789300013,NaN,NaN,1000,889.306869600201,NaN
110,3,Cross,3,3,None,0,0,Left,900.921770300018,900.734729573596,895.854712100001,896.058779900195,901.036797000095,3,5200,901.036667000037,NaN
111,1,None,0,0,Cross,3,3,Left,904.221831700066,904.052470927825,903.952247600071,904.15586040006,NaN,NaN,1000,904.332437200006,NaN
112,2,None,0,0,Cross,3,3,Left,909.441867300076,909.3602466546,907.170521200169,907.376936700195,NaN,NaN,1000,909.551210100064,NaN
